iter	Logloss
0	0.4216191755
1	0.3298110721
2	0.292211473
3	0.2772675756
4	0.2713974826
5	0.2693517728
6	0.2687314183
7	0.2683590507
8	0.2680864861
9	0.2678146233
10	0.2677084797
11	0.2676920261
12	0.2676415488
13	0.2673504314
14	0.2672595675
15	0.2671708628
16	0.2671249732
17	0.2670970249
18	0.2670251066
19	0.266959497
20	0.2669488342
21	0.2669412767
22	0.2668647234
23	0.2668329694
24	0.2668316729
25	0.2668306088
26	0.2666587629
27	0.2664657607
28	0.2663761273
29	0.2662754218
30	0.2660952435
31	0.265947617
32	0.2658953226
33	0.2655890597
34	0.2654275411
35	0.2652548706
36	0.2651654873
37	0.2649708931
38	0.2649399012
39	0.2647742281
40	0.2647737256
41	0.2647007546
42	0.2646937739
43	0.2646472051
44	0.2645555983
45	0.2645176423
46	0.2643738365
47	0.2643094737
48	0.2643094445
49	0.2642564171
50	0.2642139932
51	0.2642111212
52	0.2641637647
53	0.2641229806
54	0.2641127233
55	0.2639337514
56	0.2638883085
57	0.2638445323
58	0.263740582
59	0.2636234056
60	0.2636233835
61	0.2636117396
62	0.2635893017
63	0.2635537474
64	0.2635131096
65	0.2634767526
66	0.2634672609
67	0.2633676456
68	0.2632944983
69	0.2632776664
70	0.2632190373
71	0.2631001454
72	0.2630549797
73	0.263041149
74	0.262926962
75	0.2629207166
76	0.2628255839
77	0.2628200872
78	0.2628179796
79	0.2628097878
80	0.2627291271
81	0.262601101
82	0.2625673491
83	0.2625141995
84	0.2624617059
85	0.2624616888
86	0.2624564784
87	0.2624115152
88	0.2622990979
89	0.2622676471
90	0.2622096054
91	0.2621731988
92	0.2620739454
93	0.2620188359
94	0.2619579479
95	0.2619426265
96	0.2619081914
97	0.2618628934
98	0.2618301829
99	0.2618065627
