iter	Passed	Remaining
0	338	33519
1	383	18807
2	436	14128
3	479	11516
4	529	10066
5	573	8981
6	615	8177
7	658	7569
8	700	7086
9	736	6626
10	773	6255
11	818	5999
12	857	5736
13	894	5496
14	931	5275
15	967	5077
16	1008	4925
17	1046	4768
18	1084	4624
19	1123	4494
20	1157	4355
21	1182	4192
22	1218	4080
23	1260	3990
24	1295	3886
25	1328	3780
26	1365	3691
27	1403	3609
28	1442	3531
29	1478	3450
30	1521	3385
31	1560	3315
32	1595	3240
33	1635	3174
34	1673	3107
35	1712	3045
36	1762	3000
37	1813	2959
38	1869	2923
39	1913	2869
40	1960	2821
41	2004	2768
42	2048	2715
43	2092	2663
44	2137	2612
45	2177	2556
46	2221	2505
47	2258	2446
48	2293	2387
49	2330	2330
50	2366	2273
51	2406	2221
52	2446	2169
53	2483	2115
54	2522	2063
55	2560	2012
56	2600	1961
57	2641	1912
58	2680	1862
59	2719	1812
60	2754	1760
61	2789	1709
62	2830	1662
63	2871	1615
64	2908	1566
65	2946	1517
66	2982	1468
67	3018	1420
68	3055	1372
69	3090	1324
70	3133	1279
71	3171	1233
72	3207	1186
73	3247	1140
74	3283	1094
75	3323	1049
76	3365	1005
77	3401	959
78	3436	913
79	3473	868
80	3509	823
81	3551	779
82	3608	739
83	3658	696
84	3704	653
85	3727	606
86	3780	564
87	3834	522
88	3887	480
89	3931	436
90	3980	393
91	4028	350
92	4073	306
93	4111	262
94	4148	218
95	4186	174
96	4224	130
97	4264	87
98	4303	43
99	4339	0
